id,threshold,position,target_final,target_hex,injected_pretrust,pretrust_hex,actual_trust,actual_metadata,actual_final,actual_hex,exact_target_match,expected_decision,actual_decision,can_recommend,citation_count,LLM_attempts,outcome
UNCERTAIN_below,0.55,below,0.5499999999999999,0x1.1999999999999p-1,0.4699999999999999,0x1.e147ae147ae13p-2,1.0,0.08,0.5499999999999999,0x1.1999999999999p-1,True,LOW,LOW,False,0,0,PASS
UNCERTAIN_equal,0.55,equal,0.55,0x1.199999999999ap-1,0.47000000000000003,0x1.e147ae147ae15p-2,1.0,0.08,0.55,0x1.199999999999ap-1,True,UNCERTAIN,UNCERTAIN,False,0,0,PASS
UNCERTAIN_above,0.55,above,0.5500000000000002,0x1.199999999999bp-1,0.47000000000000014,0x1.e147ae147ae17p-2,1.0,0.08,0.5500000000000002,0x1.199999999999bp-1,True,UNCERTAIN,UNCERTAIN,False,0,0,PASS
HIGH_below,0.68,below,0.6799999999999999,0x1.5c28f5c28f5c2p-1,0.6,0x1.3333333333333p-1,1.0,0.08,0.6799999999999999,0x1.5c28f5c28f5c2p-1,True,UNCERTAIN,UNCERTAIN,False,0,0,PASS
HIGH_equal,0.68,equal,0.68,0x1.5c28f5c28f5c3p-1,0.6000000000000001,0x1.3333333333334p-1,1.0,0.08,0.68,0x1.5c28f5c28f5c3p-1,True,HIGH,HIGH,True,1,1,PASS
HIGH_above,0.68,above,0.6800000000000002,0x1.5c28f5c28f5c4p-1,0.6000000000000002,0x1.3333333333335p-1,1.0,0.08,0.6800000000000002,0x1.5c28f5c28f5c4p-1,True,HIGH,HIGH,True,1,1,PASS
