rank,source_id,native_bm25,normalized_bm25,semantic,pretrust_hybrid,trust,metadata_bonus,calculated_final,observed_final,residual,cited,supports_battery_swelling_repair
1,SYN-0005,9.47459631085826,1.0,0.37425320784628235,0.6558392643154554,0.85,0.26,0.817463374668137,0.817463374668137,0.0,True,False
2,SYN-0010,6.901719079392127,0.7284446590597728,0.5056641656888294,0.6059153877057539,0.85,0.26,0.7750280795498908,0.7750280795498908,0.0,True,False
3,SYN-0008,6.214161209588583,0.6558760928385845,0.39810845412782486,0.5141038915476668,0.85,0.26,0.6969883078155168,0.6969883078155168,0.0,True,False
4,SYN-0054,4.759790784530536,0.5023739933991308,0.32125602304024736,0.40275910970174494,0.85,0.26,0.6023452432464832,0.6023452432464832,0.0,False,False
5,SYN-0026,3.0171389051367044,0.31844511429779276,0.3871624936831616,0.3562396729597456,0.85,0.26,0.5628037220157838,0.5628037220157838,0.0,False,False
