case,query,eligible_record_count,draft_in_corpus,draft_in_ranking_or_citations,draft_witness_in_recommendation,approved_control_in_corpus,control_rank,best_score,decision,cited_source_ids,stored_status,approval,support_queue_visible,draft_status_after,approved_status_after,outcome,llm_successes,process_seconds
draft_probe,quartzmeadow729,428,False,False,False,True,1,0.25102611215251425,LOW,[],ESCALATED,PENDING,True,draft,approved,PASS,0,24.335
approved_control,cobaltlantern463,428,False,False,False,True,1,0.8533253620276287,HIGH,"[""AUDIT-IR09-CONTROL-001"", ""SYN-0001"", ""KB-002""]",SOLUTION_PROPOSED,PENDING,False,draft,approved,PASS,0,17.242
